pdb_id,chain_id,pLDDT_Boltz,lddt_Boltz,tm_score_Boltz
7x77,A,33.33789741415855,0.3616042650995197,0.29297
7zro,A,58.19553846153847,0.524184312705759,0.25941
7f4s,D,35.62122228538942,0.34788570191980356,0.36697
7qii,B,55.30923208191126,0.7540113370223662,0.41365
7qre,D,47.18232673267326,0.3953110518171318,0.37874
7tvy,B,61.31878070175439,0.6282797655007188,0.67325
7vrb,A,61.59136,0.7454698338372736,0.71746
7mq4,A,63.80784075573549,0.3818570032119635,0.30206
7sxb,A,49.60320289855073,0.4032118082951006,0.40883
7er0,A,34.590761575075724,0.32344501712196505,0.30293
7poi,C,49.42751700680272,0.4549090313220065,0.40711
7eqs,A,34.02822012037833,0.27187015467819553,0.27182
7oa7,A,37.11455584224106,0.35182626464497485,0.46373
7qao,A,73.1274025974026,0.8151010736462417,0.39471
7ovp,A,44.39460540941089,0.5267328252380932,0.35441
7rps,A,84.82784345047922,0.806792677665559,0.84919
7ri3,C,35.736263860601944,0.3370590160301421,0.33149
7raw,A,95.1878806469604,0.9151858245268959,0.84003
